oid,filter,mjd,mag,magerr,clrcoeff,ref,ref_err,f_sci,f_sci_err,f_diff_corr,f_diff_corr_err,snr_corr,diff_sign,diff_mag,diff_mag_err
304204400005857,zr,58359.46066,19.138287,0.09094171,0.09338355,18.157,0.012,2.2114911207777163e-08,1.8523540367537528e-09,1.621313958313711e-08,1.9510541911648073e-09,8.309938112717225,1.0,19.475332195820418,0.130655149296065
304104400003613,zg,58362.50163,19.134785,0.08454063,-0.011841059,18.11,0.013,2.2186357156907995e-08,1.7275362129679103e-09,1.628458553226794e-08,1.832969816036081e-09,8.884262790253928,1.0,19.470558226051363,0.12220892497115086
304104400003613,zg,58365.46447,19.086586,0.08159521,-0.039120715,18.11,0.013,2.319346312338534e-08,1.743034344702055e-09,1.7291691498745286e-08,1.8475837480868786e-09,9.359084001821486,1.0,19.405406303304524,0.11600881074972948
304204400005857,zr,58365.52013,18.87237,0.07428972,0.1009253,18.157,0.012,2.8252182305447495e-08,1.9331092614049937e-09,2.235041068080744e-08,2.0278827372196835e-09,11.021549851275344,1.0,19.12678623113214,0.09851030203637787
304204400005857,zr,58368.47929,18.863,0.07375986,0.10203625,18.157,0.012,2.8497056273411507e-08,1.9359572536380557e-09,2.2595284648771452e-08,2.030597810325235e-09,11.12740520741152,1.0,19.114955457959407,0.09757317043105107
304104400003613,zg,58368.49917,18.93549,0.07303106,-0.08086933,18.11,0.013,2.6656553649452816e-08,1.7930288779493063e-09,2.075478202481276e-08,1.8948217690706387e-09,10.95342177485772,1.0,19.207204558498297,0.09912301626605015
304204400005857,zr,58371.44829,18.80377,0.07049553,0.09953036,18.157,0.012,3.009483731623578e-08,1.9540211494968415e-09,2.4193065691595722e-08,2.047827051307017e-09,11.814018022740054,1.0,19.04077273829509,0.09190236570388371
304104400003613,zg,58371.5021,18.740223,0.06336483,-0.050800037,18.11,0.013,3.1908824105701256e-08,1.8622361546910759e-09,2.60070524810612e-08,1.960438847611024e-09,13.265934059995391,1.0,18.962272164853214,0.08184393197251479
304104400003613,zg,58374.44496,18.730087,0.06290328,-0.061715696,18.11,0.013,3.220810697506704e-08,1.866010880399745e-09,2.6306335350426985e-08,1.964024843313869e-09,13.394095008513595,1.0,18.949849119612658,0.08106081105651489
304204400005857,zr,58374.48636,18.637787,0.062105253,0.10394844,18.157,0.012,3.506591695887258e-08,2.0058073359476098e-09,2.9164145334232526e-08,2.097298273571283e-09,13.905578286950941,1.0,18.837876865508655,0.07807918393275234
